Step,Scaffold,SMILES,DRD2_pred_activity,HB-donors (Lipinski),Number of rotatable bonds,Custom_alerts,raw_DRD2_pred_activity,raw_HB-donors (Lipinski),raw_Number of rotatable bonds,total_score,ID
3.0,O=C(CN1CCN(C(=O)C2CCCN2S(=O)(=O)c2ccccc2)CC1)Nc1ccccc1,COc1ccc(S(=O)(=O)N2CCCC2C(=O)N2CCN(CC(=O)Nc3c(F)cccc3F)CC2)cc1,0.4903411865234375,1.0,1.0,1.0,0.4903411865234375,1.0,7.0,0.6035987138748169,Use-case DRD2 Demo_0
9.0,O=C(NCc1ccccc1)c1ccc(C2CCNCC2)cc1,CN1CCC(c2ccc(C(=O)NCc3cccc(C(F)(F)F)c3[N+](=O)[O-])cc2)CC1,0.4615902900695801,1.0,1.0,1.0,0.4615902900695801,1.0,5.0,0.5812368988990784,Use-case DRD2 Demo_1
6.0,c1cnn(CCC2COC2)c1,Cc1cc(C)n(CCC2COC2)n1,0.4576888382434845,1.0,1.0,1.0,0.4576888382434845,0.0,3.0,0.578202486038208,Use-case DRD2 Demo_2
3.0,O=C(CSc1nc2ccccc2[nH]1)NCc1ccc[nH]1,CC(C)C(NC(=O)CSc1nc2ccccc2[nH]1)c1cccn1C,0.4566434621810913,1.0,1.0,1.0,0.4566434621810913,2.0,6.0,0.5773893594741821,Use-case DRD2 Demo_3
1.0,O=C(C=Cc1cccs1)c1cc(C(=O)c2ccccc2)cc(-c2ccccc2)c1,Nc1c(C(=O)c2ccccc2)cc(C(=O)C=Cc2cccs2)cc1-c1ccc(F)cc1,0.4505782425403595,1.0,1.0,1.0,0.4505782425403595,1.0,6.0,0.5726720094680786,Use-case DRD2 Demo_4
4.0,O=C(C=Cc1ccccc1)c1ccccc1,COc1cc(OC)c(C(=O)C=Cc2ccc(OC)c(OC)c2OC)c(O)c1Cl,0.4502614736557007,1.0,1.0,1.0,0.4502614736557007,1.0,8.0,0.5724256038665771,Use-case DRD2 Demo_5
2.0,O=C(Cc1n[nH]c2ccccc12)NC1(c2ccccc2)CCC1,CCCCCn1nc(CC(=O)NC2(c3ccc(Cl)c(Cl)c3)CCC2)c2ccccc21,0.4475654363632202,1.0,1.0,1.0,0.4475654363632202,1.0,8.0,0.5703286528587341,Use-case DRD2 Demo_6
6.0,c1ccc(Oc2cccc(COc3ncc[nH]3)c2)cc1,CC(C)N=C(N)c1c[nH]c(OCc2cccc(Oc3ccccc3)c2)n1,0.447144091129303,1.0,1.0,1.0,0.447144091129303,2.0,7.0,0.570000946521759,Use-case DRD2 Demo_7
5.0,N=C(CC(=O)c1ccccc1)C1CC1,CC(C)(C)ON=C(CC(=O)c1ccc(F)cc1)C1CC1,0.4458301365375519,1.0,1.0,1.0,0.4458301365375519,0.0,5.0,0.568979024887085,Use-case DRD2 Demo_8
5.0,c1ccc(C(=C2CC3CCC(C2)N3Cc2ccoc2)c2ccccc2)cc1,CCN(CC)C(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2ccoc2)c2ccccc2)cc1,0.44423407316207886,1.0,1.0,1.0,0.44423407316207886,0.0,7.0,0.5677375793457031,Use-case DRD2 Demo_9
7.0,O=C(c1n[nH]c2c1CSc1ccccc1-2)N1CCOCC1,Cn1nc(C(=O)N2CCOCC2)c2c1-c1ccccc1SC2,0.4419112801551819,1.0,1.0,1.0,0.4419112801551819,0.0,1.0,0.5659310221672058,Use-case DRD2 Demo_10
