Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
44.0,O=C1c2ccccc2C(=O)N1CCCN1CCN(c2ncccn2)CC1,O=C1c2ccccc2C(=O)N1CCCN1CCN(c2ncccn2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_0
186.0,c1ccc(N2CCN(CCCN3CCN(Cc4ccccn4)CC3)CC2)cc1,COc1ccccc1N1CCN(CCCN2CCN(Cc3ccccn3)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_1
25.0,c1ccc(C2CCNCC2)cc1,CCCCCCOc1ccc(C2CCN(CCC)CC2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_2
42.0,c1ncc(N2CCCC2)nc1N1CCCCC1,CC1CCN(c2cncc(N3CCCCC3)n2)C1,1.0,1.0,1.0,fine-tune predictive component HITL_3
0.0,c1ccc(N2CCN(Cc3nnnn3CC3CCCCC3)CC2)cc1,Clc1cccc(N2CCN(Cc3nnnn3CC3CCCCC3)CC2)c1,0.9887005686759949,0.9887005686759949,0.9887005686759949,fine-tune predictive component HITL_4
86.0,c1ccc2c(N3CCCC3)ccnc2c1,NC1CCN(c2ccnc3c(F)cccc23)C1,0.98281329870224,0.98281329870224,0.98281329870224,fine-tune predictive component HITL_5
174.0,O=c1ccn(CCCN2CCN(c3nsc4ccccc34)CC2)c(=O)[nH]1,O=c1ccn(CCCN2CCN(c3nsc4ccccc34)CC2)c(=O)[nH]1,0.9762030839920044,0.9762030839920044,0.9762030839920044,fine-tune predictive component HITL_6
166.0,c1ccc2c(c1)CCC1C2CCCN1CCCN1CCCC1,Oc1ccc2c(c1)C1CCCN(CCCN3CCCC3)C1CC2,0.976190447807312,0.976190447807312,0.976190447807312,fine-tune predictive component HITL_7
97.0,c1ccc(CN2CCCC2)cc1,Fc1ccc(CN2CCCC2)c(Cl)c1,0.9745901823043823,0.9745901823043823,0.9745901823043823,fine-tune predictive component HITL_8
85.0,C1=C(c2c[nH]c3ccccc23)CCNC1,COc1ccc2[nH]cc(C3=CCN(CCN(C)C)CC3)c2c1,0.9740877747535706,0.9740877747535706,0.9740877747535706,fine-tune predictive component HITL_9
150.0,c1ccc(CN2CCCC2CCN2CCCN(c3ccccc3)CC2)cc1,COc1ccccc1N1CCCN(CCC2CCCN2Cc2ccc(Cl)c(Cl)c2)CC1,0.9713261723518372,0.9713261723518372,0.9713261723518372,fine-tune predictive component HITL_10
135.0,c1ccc(CN2CCN3CCCC3C2)cc1,Clc1cccc(CN2CCN3CCCC3C2)c1,0.9613415002822876,0.9613415002822876,0.9613415002822876,fine-tune predictive component HITL_11
158.0,c1ccc(CCCN2CCN(Cc3ccccc3)CC2)cc1,Fc1ccc(CN2CCN(CCCc3ccccc3)CC2)cc1,0.9605734944343567,0.9605734944343567,0.9605734944343567,fine-tune predictive component HITL_12
14.0,c1ccc(C2CCNCC2)cc1,CCCN1CCC(c2ccccc2)CC1,0.9592896103858948,0.9592896103858948,0.9592896103858948,fine-tune predictive component HITL_13
194.0,O=C(NCCCCN1CCC(c2ccccc2)CC1)c1ccc(OCCCCc2ccccc2)cc1,O=C(NCCCCN1CCC(c2cc(F)cc(F)c2)CC1)c1ccc(OCCCCc2ccccc2)cc1,0.9585253596305847,0.9585253596305847,0.9585253596305847,fine-tune predictive component HITL_14
120.0,c1ccc(OCCN2CCCCC2)cc1,CCOc1ccccc1OCCN1CCCCC1,0.9538251161575317,0.9538251161575317,0.9538251161575317,fine-tune predictive component HITL_15
147.0,c1ccc(CCN2CCN(c3ccccc3)CC2)cc1,Clc1ccc(CCN2CCN(c3ccc(Cl)cc3)CC2)cc1,0.9530054926872253,0.9530054926872253,0.9530054926872253,fine-tune predictive component HITL_16
123.0,O=C1c2ccccc2CN1CCCN1CCN(Cc2ccccc2)CC1,O=C1c2ccccc2CN1CCCN1CCN(Cc2ccc(F)cc2)CC1,0.9482846856117249,0.9482846856117249,0.9482846856117249,fine-tune predictive component HITL_17
110.0,O=C(NCCCCCN1CCC(c2c[nH]c3ccccc23)CC1)c1ccccc1,COc1cccc(C(=O)NCCCCCN2CCC(c3c[nH]c4ccccc34)CC2)c1,0.9442093968391418,0.9442093968391418,0.9442093968391418,fine-tune predictive component HITL_18
32.0,c1ccc(Cn2c(C3CC3)nc3ccccc32)cc1,Fc1ccc2c(c1)nc(C1CC1)n2Cc1ccccc1,0.943989098072052,0.943989098072052,0.943989098072052,fine-tune predictive component HITL_19
199.0,c1ccc(N2CCN(CCc3cccc4[nH]ccc34)CC2)cc1,Fc1cccc(N2CCN(CCc3cccc4[nH]ccc34)CC2)c1,0.9439324140548706,0.9439324140548706,0.9439324140548706,fine-tune predictive component HITL_20
126.0,c1ccc(CN2CCNCC2)cc1,CN1CCN(Cc2ccc(Cl)cc2)CC1,0.9420941472053528,0.9420941472053528,0.9420941472053528,fine-tune predictive component HITL_21
99.0,c1ccc(OCC2CNCCO2)cc1,CCCCN1CCOC(COc2ccc(Cl)cc2)C1,0.9415653347969055,0.9415653347969055,0.9415653347969055,fine-tune predictive component HITL_22
95.0,c1ccc(N2CCC(N3CCN(Cc4ccco4)CC3)CC2)nc1,OCCC1CN(C2CCN(c3ccccn3)CC2)CCN1Cc1ccc(Cl)o1,0.9395801424980164,0.9395801424980164,0.9395801424980164,fine-tune predictive component HITL_23
