smiles_1,smiles_2,label_proba,label_binary
Oc1ccc(-n2nccc2-c2cccs2)cc1,Oc1ccc(-n2nccc2-c2cccs2)cc1,0.5,0.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,0.5133448243141174,1.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,CCOC(=O)c1cn(Cc2ccccc2Cl)c2cc(N3CCN(c4cccc(C)c4C)CC3)ccc2c1=O,0.49527785181999207,0.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,CCOc1cc(O)c(-c2noc(C)n2)cc1CC,0.4737740755081177,0.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,CCCCOC(=O)C=Cc1ccc(OC(C)=O)c(OC(C)=O)c1,0.5133448243141174,1.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,COc1cccc(CN(C)CC(=O)N2CC(C)CC(C)C2)c1OC,0.5133448243141174,1.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccc3c(c2)OCO3)n(C)c1=O,0.4733726978302002,0.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,COc1cc(C#N)ccc1OC1CCN2CCN(C(=O)c3ccc(Cl)s3)CC2C1,0.4779212772846222,0.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,CC1(C)C(=O)N(C(=O)C(CCc2ccccc2)NS(=O)(=O)c2ccc3ccccc3c2)N=C1c1ccccc1,0.5133448243141174,1.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,COCCn1c(=O)cc(C(=O)N(C)Cc2ccccc2)c2ccccc21,0.4997670650482178,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,Oc1ccc(-n2nccc2-c2cccs2)cc1,0.48665520548820496,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,0.5,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,CCOC(=O)c1cn(Cc2ccccc2Cl)c2cc(N3CCN(c4cccc(C)c4C)CC3)ccc2c1=O,0.4819374978542328,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,CCOc1cc(O)c(-c2noc(C)n2)cc1CC,0.4604845345020294,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,CCCCOC(=O)C=Cc1ccc(OC(C)=O)c(OC(C)=O)c1,0.5,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,COc1cccc(CN(C)CC(=O)N2CC(C)CC(C)C2)c1OC,0.5,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccc3c(c2)OCO3)n(C)c1=O,0.46008458733558655,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,COc1cc(C#N)ccc1OC1CCN2CCN(C(=O)c3ccc(Cl)s3)CC2C1,0.46461814641952515,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,CC1(C)C(=O)N(C(=O)C(CCc2ccccc2)NS(=O)(=O)c2ccc3ccccc3c2)N=C1c1ccccc1,0.5,0.0
Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,COCCn1c(=O)cc(C(=O)N(C)Cc2ccccc2)c2ccccc21,0.48642244935035706,0.0
CCOC(=O)c1cn(Cc2ccccc2Cl)c2cc(N3CCN(c4cccc(C)c4C)CC3)ccc2c1=O,Oc1ccc(-n2nccc2-c2cccs2)cc1,0.5047221779823303,1.0
