smiles_1,smiles_2,label_proba,label_binary
O=C(NCc1cccs1)c1ccc([N+](=O)[O-])cc1,COc1cc(C(=O)CSc2nccn2C)cc(OC)c1OC,0.49952778,0.0
OCCN1CCN(C2CC(c3ccc(F)cc3)c3c(Cl)cccc32)CC1,Cc1ccc(C=C(C#N)C(=O)c2ccccc2)s1,0.73104626,1.0
CCOC(=O)c1sc(NNC(=O)c2ccc(F)cc2)nc1C,CC(C)(C)OCC(NC(=O)OC(C)(C)C)c1nnc(C(CCCCNC(=O)OC(C)(C)C)NC(=O)C2CCN(C(=O)OC(C)(C)C)CC2)o1,0.4986346,0.0
Cc1c(C=CC(=O)c2ccccc2O)cnn1C,CN1CCN(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,0.27129453,0.0
CCCc1nnc(SCC(=O)N2C(C)CCCC2C)n1CC,COC(=O)C(CC(=O)c1ccc(C)cc1)n1nc(C)cc1C,0.5008012,1.0
O=C(C=Cc1ccc[nH]1)c1ccccc1,CCOc1ccc(-n2cc(-c3ccccc3)c3c(O)ncnc32)cc1,0.4999643,0.0
O=C(OCc1cncs1)c1ccccc1,CC1CN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CC(C)N1C,0.26902515,0.0
O=C(NCc1ccco1)c1cc([N+](=O)[O-])ccc1Cl,CCN1CCCC1CNC(=O)c1c(OC)ccc([N+](=O)[O-])c1O,0.2794227,0.0
CC(C)c1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,COc1ccc(C(=O)NN=C2CCCC2C(=O)C(F)(F)F)cc1,0.7303316,1.0
O=C(NNc1cc(O)[nH]c1O)c1cccc(F)c1,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,0.2761944,0.0
CCOc1ccc(-n2cc(-c3ccccc3)c3c(O)ncnc32)cc1,Cc1c(C=CC(=O)c2ccc(O)cc2)cnn1C,0.49976182,0.0
CS(=O)(=O)c1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,CN(C)S(=O)(=O)c1cccc(C(=O)NCc2ccco2)c1,0.7297689,1.0
CCCc1nnc(SCC(=O)N2CCOCC2)n1C,O=C(NCc1ccco1)c1cccnc1Cl,0.5002879,1.0
CC1CN(C(=O)C(C)Sc2nnnn2C)CC(C)O1,CCn1c(S)nnc1C(C)NC(=O)c1ccc(Cl)cc1,0.500507,1.0
Cc1ccc(C(=O)NN=C2CCSC2)cc1[N+](=O)[O-],CCCNc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,0.4991703,0.0
O=C(NCc1ccco1)c1ccccc1,COc1cc(C(=O)CSc2nncn2C)cc(OC)c1OC,0.49979457,0.0
CCN1CCCC1CNC(=O)c1c(OC)ccc(F)c1O,CN1CCN(C2CC(c3ccc(F)cc3)c3cccc(Cl)c32)CC1(C)C,0.50078344,1.0
OCCN1CCN(C2CC(c3ccc(F)cc3)c3c(Cl)cccc32)CC1,CCc1ccc(OC)c(C(=O)NCC2CCCN2CC)c1OC,0.49999845,0.0
Cc1cc(C)c(C(=O)CSc2nnc(N)s2)cc1C,COc1ccc(Cl)cc1C(=O)CSc1nnnn1C,0.50050426,1.0
COc1cccc(C(=O)NN=C2CCCC2)c1,CCn1c(S)nnc1C(C)NC(=O)c1ccc(Cl)cc1,0.4999913,0.0
CN(C)S(=O)(=O)c1ccc(C(=O)OCC2COC(C)(C)O2)cc1,COc1ccc(C(=O)CSc2ncn[nH]2)cc1OC,0.4999922,0.0
CCN1CCCC1CNC(=O)c1c(OC)ccc(I)c1O,COc1ccc(Cl)cc1C(=O)CSc1nnnn1C,0.7309886,1.0
Cc1ccc(C(=O)NN=C2CCSC2)cc1[N+](=O)[O-],NCCCCC(NC(=O)C1CCNCC1)c1nnc(C(N)CO)o1,0.49847332,0.0
COc1cc(OC)cc(C(=O)NCC2CCCO2)c1,CCN1CCCC1CNC(=O)c1c(OC)ccc(F)c1O,0.2692979,0.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,Oc1ccc(-n2nccc2-c2cccs2)cc1,0.5,0.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,Cn1cnc(S(=O)(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)c1,0.5133448243141174,1.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,CCOC(=O)c1cn(Cc2ccccc2Cl)c2cc(N3CCN(c4cccc(C)c4C)CC3)ccc2c1=O,0.49527785181999207,0.0
Oc1ccc(-n2nccc2-c2cccs2)cc1,CCOc1cc(O)c(-c2noc(C)n2)cc1CC,0.4737740755081177,0.0
