smiles_1,smiles_2,smiles_3,label_1_proba,label_2_proba,label_3_proba,label_1_rank,label_2_rank,label_3_rank
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,C=CCC(NCc1ccc2c(c1)OCO2)c1ccc(F)cc1,tensor(0.3343),tensor(0.3327),tensor(0.3331),tensor(3),tensor(1),tensor(2)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,O=C(NCC(c1ccccc1)c1ccccc1)N1CCNC(c2ccccc2)C1,tensor(0.3336),tensor(0.3320),tensor(0.3344),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,CCc1nc2c(C3CCNC3)c(COCc3ccccc3)sc2o1,tensor(0.3308),tensor(0.3293),tensor(0.3399),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,CC1(c2ccc(F)c(Cl)c2)C(=O)NCN1C(=O)c1cccc(F)c1,tensor(0.3344),tensor(0.3328),tensor(0.3329),tensor(3),tensor(1),tensor(2)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,O=C(NCc1ccc(F)cc1)c1cc2ccccc2cc1O,tensor(0.3344),tensor(0.3328),tensor(0.3328),tensor(3),tensor(1),tensor(2)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,NC(C(=O)O)c1ccc(SC(F)F)cc1,tensor(0.3346),tensor(0.3330),tensor(0.3324),tensor(3),tensor(2),tensor(1)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,CC(C)n1cc(C2CN3C(C(N)=N2)C2CCC3N2C)c2ccccc21,tensor(0.3231),tensor(0.3216),tensor(0.3553),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,CCCc1c2c(c3oc(=O)ccc3c1OC)C=CC(C)(C)O2,tensor(0.3335),tensor(0.3319),tensor(0.3346),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,COc1nc(C)nc(N2CCCN(C(=O)CN3CCOC3=O)CC2)n1,tensor(0.3345),tensor(0.3329),tensor(0.3327),tensor(3),tensor(2),tensor(1)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,OC(c1ccc(Cl)cc1)c1nc(C(F)(F)F)c[nH]1,tensor(0.3344),tensor(0.3329),tensor(0.3327),tensor(3),tensor(2),tensor(1)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,CC=c1[nH]n(-c2ccccc2)c(=O)c1=Cc1ccccc1,tensor(0.3342),tensor(0.3326),tensor(0.3332),tensor(3),tensor(1),tensor(2)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,Cc1cccc(C)c1OCCN1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1,tensor(0.3309),tensor(0.3293),tensor(0.3398),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,CCN=c1[nH]c(=NCc2ccccc2)[nH]c(=NCc2ccccc2)[nH]1,tensor(0.3334),tensor(0.3318),tensor(0.3348),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,O=C(O)c1ccc(OC2CCN(C(CS)C(=O)O)CC2)c(Cl)c1,tensor(0.3343),tensor(0.3327),tensor(0.3330),tensor(3),tensor(1),tensor(2)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,CCCC1COC(c2ccccc2)C2(CCN(CCc3ccccc3)CC2)O1,tensor(0.3165),tensor(0.3150),tensor(0.3686),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCN(c2ccc(F)cc2)CC1,tensor(0.2244),tensor(0.2234),tensor(0.5522),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,CC(=CCCC1(C)CCc2ccccc2O1)CCCC(C)=CCc1cc(O)ccc1O,tensor(0.3109),tensor(0.3094),tensor(0.3797),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,CNC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Br)cc1,Fc1ccc2[nH]cc(C=NNC3=NCCN3)c2c1,tensor(0.3338),tensor(0.3322),tensor(0.3340),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,C=CCC(NCc1ccc2c(c1)OCO2)c1ccc(F)cc1,O=C(NCC(c1ccccc1)c1ccccc1)N1CCNC(c2ccccc2)C1,tensor(0.3334),tensor(0.3323),tensor(0.3343),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,C=CCC(NCc1ccc2c(c1)OCO2)c1ccc(F)cc1,CCc1nc2c(C3CCNC3)c(COCc3ccccc3)sc2o1,tensor(0.3307),tensor(0.3295),tensor(0.3398),tensor(2),tensor(1),tensor(3)
Cc1ccoc1,C=CCC(NCc1ccc2c(c1)OCO2)c1ccc(F)cc1,CC1(c2ccc(F)c(Cl)c2)C(=O)NCN1C(=O)c1cccc(F)c1,tensor(0.3342),tensor(0.3330),tensor(0.3327),tensor(3),tensor(2),tensor(1)
Cc1ccoc1,C=CCC(NCc1ccc2c(c1)OCO2)c1ccc(F)cc1,O=C(NCc1ccc(F)cc1)c1cc2ccccc2cc1O,tensor(0.3342),tensor(0.3331),tensor(0.3327),tensor(3),tensor(2),tensor(1)
Cc1ccoc1,C=CCC(NCc1ccc2c(c1)OCO2)c1ccc(F)cc1,NC(C(=O)O)c1ccc(SC(F)F)cc1,tensor(0.3344),tensor(0.3332),tensor(0.3323),tensor(3),tensor(2),tensor(1)
