id,SMILES
2280,COc1ccccc1N1CCN(CCCCN2CCc3cc(-c4cccs4)ccc3C2=O)CC1
9005,Cc1ccc(CN2CCCC(C(=O)c3sccc3C)C2)o1
9318,COc1ccc(N2CCN(CCCNC(=O)C3COc4ccc(OC)cc4C3)CC2)cc1
100,Cc1ccc(-c2nnn(CC(=O)N(CC(=O)NCC3CCCO3)c3ccccc3)n2)o1
8124,Nn1c(SCC(=O)NCCN2C(=O)CSC2=O)nnc1-c1ccc(OC(F)F)cc1
3177,CCc1ccc(CN2CCCC(C(=O)c3sccc3C)C2)o1
7374,CN1CCN(CCOc2ccc(Cl)c(Cl)c2)CC1
4158,COc1ccc(OCCCCN(C)Cc2ccccc2)cc1
769,Fc1ccccc1N1CCN(C2CCCN(Cc3cccc(C(F)(F)F)c3)C2)CC1
7270,O=C(CN1CCC(NC(=O)Nc2ccc(F)cc2)CC1)Nc1ccccc1[N+](=O)[O-]
